"job","job href","save-job","location","icon href 2","desc","badge","badge 2"
"Pharmacist","https://www.careerjet.com.bd/jobad/bdbadce7b0834710590b17a771e7b5c9d5","Save","Dhaka","[object Object]","Job Context  Job Nature: Full-time ( As per roster)   Job Responsibilities   Must be expert in the all medicine & disposable goods trade name & Generic name.  Inventory Management.…","11 hours ago","Apply easily"
"Senior Software Engineer (Python/Django/React)","https://www.careerjet.com.bd/jobad/bd18b16896780fe2aabed3516f9806574f","Save","Dhaka","[object Object]","Job Context  Glascutr Ltd, with offices in Dhaka and Toronto, aspires to serve companies seeking to expand their operations through the use of exponential technologies. Every day, …","12 hours ago","Apply easily"
"Senior Executive-Validation (API Project)","https://www.careerjet.com.bd/jobad/bd9a68ed0d01dcfd6e8af45ae8d7d86ff1","Save","Munshiganj, Dhaka","[object Object]","Job Context   The ACME Laboratories Limited, one of the top ranking and publicly listed Pharmaceutical companies of the country enjoying significant coverage in domestic and intern…","12 hours ago","Apply easily"
"Senior Executive - Digital Marketing","https://www.careerjet.com.bd/jobad/bde4f8c504c54c70a77657304b3ab7f23e","Save","Dhaka","[object Object]","Job Context  If you live and breathe digital marketing, we want to talk to you. We are looking to hire skilled and experienced Senior Digital Marketing Executive to develop, implem…","12 hours ago","Apply easily"
"Education consultant","https://www.careerjet.com.bd/jobad/bd542f33bff857e26046d70e5f4b6b4a70","Save","Dhaka","[object Object]","Job Responsibilities   Counseling students  Study abroad student recruiting  Agents recruiting  Setting up meetings of at least 5 per day.  Must be able to talk in English  Work as…","12 hours ago","Apply easily"
"Showroom Manager","https://www.careerjet.com.bd/jobad/bdffa88771bb0517d7e7288b4f87f8beb2","Save","Dhaka","[object Object]","Job Context   minimum 3 years experience in shoe sandal leather showroom  Must able to work in pause software and able to communicate customers and manage properly shop    Job Resp…","13 hours ago","Apply easily"
"SEO Blog Writer","https://www.careerjet.com.bd/jobad/bd781651c50de9684e566b28f1b8daeed9","Save","Dhaka","[object Object]","Job Context  We are looking for an experienced SEO blog writer to join our team. The ideal candidate will have a deep understanding of search engine optimization (SEO) best practic…","13 hours ago","Apply easily"
"HR","https://www.careerjet.com.bd/jobad/bda1a09ab8100db2722d45676e75c7c3ec","Save","Dhaka","[object Object]","Job Responsibilities   To welcome all visitors, attend to their queries, providing a courteous service, in order to portray a positive image of the School and respond to all calls …","13 hours ago","Apply easily"
"Executive (Front Desk)","https://www.careerjet.com.bd/jobad/bda3f4a95332dcefc95590cf11766a3a35","Save","Dhaka","[object Object]","Job Context  Citymead Realestate and Development Ltd. a steadily growing organization a recognized leader in the housing industry of Bangladesh is looking for hard working professi…","13 hours ago","Apply easily"
"Asst. Director/Director - Finance & Business Support","https://www.careerjet.com.bd/jobad/bd33b8a23e3d2a545a9c05f09b154e33da","Save","Dhaka","[object Object]","Job Context  As Director of Finance, you`ll direct hotel financial operations and ensure the security of hotel assets. Reporting on the financial state of the hotel, you`ll also ma…","14 hours ago","Apply easily"
"Head of Internal Control & Compliance Department (ICCD)","https://www.careerjet.com.bd/jobad/bdf4e4af857abc4e69517f1aa238454e07","Save","Dhaka","[object Object]","Job Context   A shariah based Islamic bank is looking for a dynamic individual for Internal Control & Compliance Department (ICCD)  Job Summary:  This position is responsible for o…","14 hours ago","Apply easily"
"Sales Executive","https://www.careerjet.com.bd/jobad/bddd2471206ae4918ed047bda6baacb80c","Save","Dhaka","[object Object]","Job Responsibilities   Work as an integrated member of the sales team, making client calls, providing details information and package proposals to agents and clients, providing sal…","14 hours ago","Apply easily"
"Electrical Engineer","https://www.careerjet.com.bd/jobad/bdabc41a8da510d3561f3d2dc2d102de20","Save","Chittagong","[object Object]","Job Context  Azim Group is a 100% export oriented leading Manufacturing Company in Bangladesh here by invites applications from qualified, dynamic, self-motivated and hard working …","15 hours ago","Apply easily"
"Sales and Marketing Executive","https://www.careerjet.com.bd/jobad/bde12050de3a9a91348ce4485b76ccc007","Save","Dhaka","[object Object]","Job Responsibilities   To handle Inbound & Outbound calls of the students.  Must be comfortable making 100+ calls per day generating interest, qualifying prospects, and making new …","15 hours ago","Apply easily"
"Executive/ Senior Executive","https://www.careerjet.com.bd/jobad/bd7996062e144cdd2f91581435c29b7423","Save","Dhaka","[object Object]","Job Context   vivo is a well-reputed Chinese Multinational Smartphone Assembly/Manufacturing Company. For the expansion of the operational work, we are looking for the position of …","16 hours ago","Apply easily"
"Deputy General Manager - Quality (RMG Division)","https://www.careerjet.com.bd/jobad/bddc92097e125c64bd4003d9c2bac8c64f","Save","Gazipur, Dhaka","[object Object]","Job Responsibilities   Develop the quality standard and rules and regulations for achieving the quality of the garments.  Validates quality processes by establishing Product specif…","16 hours ago","Apply easily"
"AVP/JAVP - Commercial (Cash Incentive)","https://www.careerjet.com.bd/jobad/bd471d0cf077fb86ca6d3c9c93e0f237ee","Save","Rupganj, Dhaka","[object Object]","Job Context  Job Location: Vulta, Rupgonj, Narayangonj.   Job Responsibilities   Capable to handle independently with Cash incentive related all work.  Coordinate and follow-up wit…","16 hours ago","Apply easily"
"Electromechanical Engineer","https://www.careerjet.com.bd/jobad/bdd3d69d864ef15359acb4d732809c183f","Save","Dhaka","[object Object]","Job Context   The leading premier social Club of the country wishes to fill-up the following positions by highly motivated, dynamic and competent professionals:  Employment Status:…","16 hours ago","Apply easily"
"Accountant","https://www.careerjet.com.bd/jobad/bd493dbb0ecbc9cd6e1923c6d3d8826b03","Save","Dhaka","[object Object]","Job Context   We are seeking trustworthy candidates who work efficiently without sacrificing accuracy. Accountants can expect to work with large amounts of numerical data, handle m…","16 hours ago","Apply easily"
"Merchandising","https://www.careerjet.com.bd/jobad/bd153f69fa05fce6e7d2ddc9402e645e7e","Save","Chittagong","[object Object]","Job Context   GH Haewae Co. Ltd. 100% foreign owned, Manufacturer & Exporter of readymade Garment, requires to recruit following personnel immediately.  Job location: CEPZ, Chittag…","16 hours ago","Apply easily"
"General Manager, Medical Services","https://www.careerjet.com.bd/jobad/bd52f97131f2ebb88b5e9eae6fc647a212","Save","Dhaka","[object Object]","Job Responsibilities   Oversee & Lead operations for patient care by Medical Services Department according to the rules and regulations set by hospital and local laws, rules and re…","16 hours ago","Apply easily"
"Supervisor","https://www.careerjet.com.bd/jobad/bdb186b67e5d1deea3646456fd50c7c005","Save","Dhaka","[object Object]","Job Responsibilities   Identify new business opportunities from existing & potential customers and prepare solutions & pricing with General Manager to drive new business developmen…","17 hours ago","Apply easily"
"Visa Consultant","https://www.careerjet.com.bd/jobad/bdec0f0d85f4f4911762c1026f6268b8bc","Save","Dhaka","[object Object]","Job Responsibilities   • Should be capable for creative marketing to manage high valued Skilled and Business clients.  • Should be up to date about the immigration rules of Austral…","18 hours ago","Apply easily"
"Graphic Designer","https://www.careerjet.com.bd/jobad/bd917fb1f6805141ae2895c208b1f906d0","Save","Dhaka","[object Object]","Job Context  We are seeking graphic designer to join at our team. You will be designated as a graphic designer to make graphics works for the flexible packaging industry. You may n…","18 hours ago","Apply easily"
"Executive/ Sr. Executive - Sales","https://www.careerjet.com.bd/jobad/bde49b32c99bd3f4e6e80b81c2c3704258","Save","Chittagong","[object Object]","Job Context  A reputed and fast-growing Information & Technology Company is looking for an honest, well experienced, dynamic, hardworking with good market knowledge & self-motivate…","18 hours ago","Apply easily"
"Trainee Executive - HR","https://www.careerjet.com.bd/jobad/bdb8301a8c8e0e656ee9eadb217111b947","Save","Dhaka","[object Object]","Job Context  ""HR Bangladesh Ltd"" is an Indigenous Human Resource Consulting firm and Placement Agency urgently looking for Fresh Graduates in the position of Trainee Executive-HR f…","18 hours ago","Apply easily"
"Asst. Manager/ Dy. Manager (Commercial)","https://www.careerjet.com.bd/jobad/bd959b8c9ae8da0772b6bf5e864cbee5b0","Save","Dhaka","[object Object]","Job Context  Work Station: Corporate office   Job Responsibilities   To prepare and issue purchase orders and to maintain information on suppliers, screens procurement requests, ca…","19 hours ago","Apply easily"
"Diploma Engineer (Mechanical)","https://www.careerjet.com.bd/jobad/bd85728aedd05dfde40a159e2b8fbb74ba","Save","Chittagong","[object Object]","Job Context  Azim Group is a 100% export oriented leading Manufacturing Company in Bangladesh here by invites applications from qualified, dynamic, self-motivated and hard working …","19 hours ago","Apply easily"
"Assistant Manager/ Manager - Operation","https://www.careerjet.com.bd/jobad/bd74e0676c232532beb58c66b9c6943fd6","Save","Munshiganj, Dhaka","[object Object]","Job Responsibilities   Loading schedule of Lighter Vessels.  Fleet report and Lighter Vessel performance monitor.  Prepare monthly cargo carried and fuel consumption report.  Prepa…","20 hours ago","Apply easily"
"Executive, Regulatory Affairs","https://www.careerjet.com.bd/jobad/bdee58a2102dd18e5da535eee1bf56f7a0","Save","Dhaka","[object Object]","Job Responsibilities   Maintain all types of regulatory matters of the organization  Develop strategies to ensure the organization's activities comply with government regulations  …","20 hours ago","Apply easily"
"Admin Officer (Academic)","https://www.careerjet.com.bd/jobad/bdd29563d87b6e67d7b790884ed021b549","Save","Dhaka","[object Object]","Job Context  We are looking for interested candidates as Admin Officer (Academic) who has initiative, experience in the following sector, drive and self-motivation to take the chal…","20 hours ago","Apply easily"
"Surveyor (Land)","https://www.careerjet.com.bd/jobad/bded9e9378957368149267199b924881be","Save","Dhaka","[object Object]","Job Context  Citymead Realestate and Development Ltd. a steadily growing organization a recognized leader in the housing industry of Bangladesh is looking for hard working professi…","20 hours ago","Apply easily"
"Accounts Executive","https://www.careerjet.com.bd/jobad/bd292e1bd1777f0f96c7bc45947237e345","Save","Dhaka","[object Object]","Job Context  We are looking for accounts executive who have good experience in banking, Travel agency accounting and maintain day to day accounts and monthly reports   Job Responsi…","21 hours ago","Apply easily"
"Telesales Executive","https://www.careerjet.com.bd/jobad/bdb93d5be53a236c3894c2a26b4a7cf6c5","Save","Dhaka","[object Object]","Job Context   Company Information: Roots Trade International  476-C, Malibagh (D.I.T Road) Dhaka-1219, Bangladesh.  Web: https://rootsbangladesh.com  Business: Textile Machinery Su…","21 hours ago","Apply easily"
"Customer Support Executive Through Social Media (Work From Home)","https://www.careerjet.com.bd/jobad/bdc414121997b690d5b410bba2a83c5ec4","Save","Bangladesh","[object Object]","Job Context   Office Timings:  10 am to 7 pm  6 pm to 3 am  2 am to 11 am  Weekly holiday: 1  Work from home  Candidate must have to be Unmarried  And must have good typing speed  …","12 hours ago","Apply easily"
"Medical Assistant","https://www.careerjet.com.bd/jobad/bde3a4c0aac66fdf6792279c5f408285b3","Save","Mymensingh","[object Object]","Job Responsibilities   Provide quality STI and GH services to the gender diversified population and hijra at service centers, which include DICs, Sub-DICs, Outlets and Satellites, …","13 hours ago","Apply easily"
"Asst. Manager/ Manager-Accounts","https://www.careerjet.com.bd/jobad/bdc4c00c53ef961c6f070e54abdea22d95","Save","Bangladesh","[object Object]","Job Responsibilities   Prepare Financial Statement.  Prepare Monthly, Quarterly and Annual Accounts for Management and External Bodies.  Prepare Monthly MIS for Management.  Ensure…","11 hours ago","Apply easily"
"Bike Service Representative","https://www.careerjet.com.bd/jobad/bdc532ee79d5959ee56c12a87dee519264","Save","Dhaka","[object Object]","Job Context   Duty time of 9.30 am to 7.00 pm.  If you are a responsible and customer-focused individual with a passion for biking and delivering documents and parcels, we encourag…","11 hours ago","Apply easily"
"Senior/Mid-level Software Engineer","https://www.careerjet.com.bd/jobad/bdb55cceb3b97b99a2535704342813744e","Save","Bangladesh","[object Object]","Job Context  We are looking for a Senior/Midlevel Software Engineer to build functional and efficient server-client applications in Java. Responsibilities include participating in …","12 hours ago","Apply easily"
"Manager (Business Development)","https://www.careerjet.com.bd/jobad/bd2d6de2596185a98572ce30ba8703a82f","Save","Bangladesh","[object Object]","Job Responsibilities  .   Employment Status   Full-time   Educational Requirements   MBA in Business Administration / BBA /Masters / Supply Chain Management / M. Com in Marketing F…","12 hours ago","Apply easily"
"Trade and marketing","https://www.careerjet.com.bd/jobad/bd81d7848bd0ec33404dc9170fd1edcca4","Save","Bangladesh","[object Object]","Job Context   Do the needful evaluation & research for the demand of our Products.  Visit & meet the customers as frequently as possible.  Prepare a Trade promotion plan as per the…","12 hours ago","Apply easily"
"Officer- QC/R&D/Production","https://www.careerjet.com.bd/jobad/bd9f88c0693612911f78ac361d3cb5a69e","Save","Bangladesh","[object Object]","Job Responsibilities  Quality control /New products development/ production etc   Employment Status   Full-time   Workplace  Work at office    Educational Requirements   Bachelor o…","12 hours ago","Apply easily"
"Senior Merchandising Manager","https://www.careerjet.com.bd/jobad/bd50ca837fe03da6be667dc800a035a7b3","Save","Bangladesh","[object Object]","Job Context  A Multinational Buying liaison based in Chittagong is looking for a position of Senior Merchandising Manager an urgent basis.   Job Responsibilities  N/A   Employment …","12 hours ago","Apply easily"
"Branch Manager (Dhaka, Chittagong & Barisal)","https://www.careerjet.com.bd/jobad/bdd7386785ebba768e612c7016ebfdcab2","Save","Bangladesh","[object Object]","Job Context  A shariah based commercial bank is looking for some dynamic individuals as Branch Manager (BM).   Job Responsibilities   Accountable for achieving set targets of assig…","13 hours ago","Apply easily"
"IT Officer","https://www.careerjet.com.bd/jobad/bd081d08f83b245c9556fc4051107629b3","Save","Bangladesh","[object Object]","Job Context  IT Executive to be responsible and accountable for the smooth running of our computer systems within the limits of requirements, specifications, costs and timelines. Y…","14 hours ago","Apply easily"
"FRONT DESK OFFICER","https://www.careerjet.com.bd/jobad/bdf7a6bb02d286d5f373c3e35895e31fc3","Save","Bangladesh","[object Object]","Job Context  Contract for at least 1 year   Job Responsibilities  Received Customer Call, Handle Customer, Data Entry, Cash Handling   Employment Status   Full-time   Workplace  Wo…","14 hours ago","Apply easily"
"Jr. Executive/ Executive (Accounts & Audit)","https://www.careerjet.com.bd/jobad/bd30f7867954b70fd7d191c7fe68abc728","Save","Bangladesh","[object Object]","Job Context  Work Station: Factory, Corporate, Motor Cycle Branch and Project (Where Applicable)   Job Responsibilities   Audit Supplier bills, Transportation bills, Conveyances bi…","14 hours ago","Apply easily"
"Field Officer (FO)","https://www.careerjet.com.bd/jobad/bd0a3d2c17cbdc2648c1ac53feba0d08cc","Save","Bangladesh","[object Object]","Job Context  MEP Group is a well-known Electric and Electronic product manufacturing company located at Barishal. MEP was established in 1974 as a private company at BSCIC Industri…","14 hours ago","Apply easily"
"Executive (Commercial / Purchase)","https://www.careerjet.com.bd/jobad/bdf40a0aa73a11662b41deba975c230ce6","Save","Bangladesh","[object Object]","Job Context   Assist to manage all commercial activities (e.g. issuance of PI, L/C open, amendment/correction, shipment etc.) through phone and e-mail.  Assist with all activities …","15 hours ago","Apply easily"
"Sr. Executive/ Asst. Manager (Audit)","https://www.careerjet.com.bd/jobad/bd012ec50ffbd7469262f1cb81ef04598a","Save","Bangladesh","[object Object]","Job Context  Work Station: Corporate office/Factory   Job Responsibilities   Ensures compliance with established internal control procedures by examining records, reports, operatin…","15 hours ago","Apply easily"
"Weighment Supervisor","https://www.careerjet.com.bd/jobad/bd8d21a49054a87bcbf673cbed23f41c53","Save","Bangladesh","[object Object]","Job Responsibilities   To monitor live birds (Broiler) lifting and maintain proper delivery records.  To check scale working condition and calibration.  To maintain In and Out regi…","16 hours ago","Apply easily"
"Trainee Officer/Officer - Cash & Inventory","https://www.careerjet.com.bd/jobad/bdc0322ef47d0d836145eaeee9868f86c2","Save","Bangladesh","[object Object]","Job Responsibilities   Perform all cash management/store management activities of different units of the company  Manage inventories and prepare cash book, ledger, bills/invoices a…","16 hours ago","Apply easily"
"Architect/Interior Designer","https://www.careerjet.com.bd/jobad/bd634ba4f9c92eb252860dc4d77e1c48a7","Save","Bangladesh","[object Object]","Job Context   Alloy Aluminium Furniture ltd is one of the only aluminium furniture manufacturing company in Bangladesh.  Interior Decoration & furniture design.    Job Responsibili…","16 hours ago","Apply easily"
"ESG Management Specialist","https://www.careerjet.com.bd/jobad/bddec552f04bd6f4286fb59c72f58cd4e4","Save","Bangladesh","[object Object]","Job Context  The Environmental, Social and Governance (ESG) Management Specialist will be responsible for developing and overseeing environmental, social and corporate governance p…","17 hours ago","Apply easily"
"Sr. Manager/ Manager (Security)","https://www.careerjet.com.bd/jobad/bd26d387975a4ff1837f69352ddbdf213b","Save","Bangladesh","[object Object]","Job Context  Work Station: Group/Factory   Job Responsibilities   Security: Establishes an automated security management system and supervises day to day activities of security tea…","17 hours ago","Apply easily"
"Sales Executive","https://www.careerjet.com.bd/jobad/bd1263ca0f54978873a338c8d928b999c6","Save","Cox's Bazar, Chittagong","[object Object]","Job Context  Workplace: Work at Office / Home.   Job Responsibilities   Implementation and execution of business development strategies  Sourcing for new business.  Able to negotia…","18 hours ago","Apply easily"
"Food Technologist/ Chemist","https://www.careerjet.com.bd/jobad/bdd315c00bbf6349f64259fee11022dc60","Save","Bangladesh","[object Object]","Job Context  Primary responsibility is to ensure that food products are safe and meet specific standards. Candidate will also be involved in developing the manufacturing processes …","19 hours ago","Apply easily"
"Asstt. Service Engineer","https://www.careerjet.com.bd/jobad/bd344a433f2fbff4ab2e0fdda895737798","Save","Bangladesh","[object Object]","Job Context  Installation, Commissioning, Repair, Trouble shooting and maintenance of Diesel Generating sets   Job Responsibilities   Be able to trouble shoot and solve the problem…","19 hours ago","Apply easily"
"Sr. Engineer (Civil)","https://www.careerjet.com.bd/jobad/bd6e6ba639287372ed55ef87e7c0d85917","Save","Bangladesh","[object Object]","Job Context   A renowned & reputed Group of Company (Ceramic Based) is looking for suitable candidate for its Corporate Head office & Factory.  Work Station: Factory    Job Respons…","19 hours ago","Apply easily"
"Sales Executive","https://www.careerjet.com.bd/jobad/bd61156f8d8447f63734d024001066e39f","Save","Uttara, Dhaka","[object Object]","Job Context  well know Bangladesh market textile mills & sell our product to them   Job Responsibilities   1) find potential buyer by Facebook, instagram, google map ect  2)follow …","11 hours ago",""
"এক্সিকিউটিভ ইন্টার্ন","https://www.careerjet.com.bd/jobad/bd6cdf047df02ac72e9886fcf066f53217","Save","Rampura, Dhaka","[object Object]","Alim (Madrasah), HSC, Diploma (Vocational), Fazil (Madrasah Hons.), Bachelor of Arts (BA)    Additional Requirements   Age at most 30 years  Only males are allowed to apply    Job …","12 hours ago",""
"Coordinator, After Sales Support","https://www.careerjet.com.bd/jobad/bd2578ab7a65ac49c0db6a9133e41d962f","Save","Gulshan, Dhaka","[object Object]","Job Responsibilities   Preparing Offers as required by sales team  Understanding pricing and applying those in every situation  Preparing long term contracts - MSAs  Making necessa…","12 hours ago",""
"E-Commerce Operations Executive","https://www.careerjet.com.bd/jobad/bd772b32a133f511ec4cedb50160ace6d1","Save","Uttara, Dhaka","[object Object]","Job Context  We are looking for an E-commerce Operations and Customer Experience Coordinator to oversee daily order fulfillment activities, monitor inventory levels, build positive…","15 hours ago",""
"Customer Service Executive","https://www.careerjet.com.bd/jobad/bd57826ddcedb047fa2bdb48a0c5c54c6f","Save","Paltan, Dhaka","[object Object]","Job Responsibilities   Customer call receives.  Followup, report making  Customer maintenance  as per company work    Employment Status   Full-time   Workplace  Work at office    E…","15 hours ago",""
"Asst. Manager (Marketing & Sales)","https://www.careerjet.com.bd/jobad/bd817bb40dc33c05072c03331ee129603e","Save","Uttara, Dhaka","[object Object]","Job Context   Must be target oriented and able to achieve the target of selling lands    Job Responsibilities   Market visit, client hunt, create market opportunities  Build a stro…","20 hours ago",""
"Manager/Sr. Manager, Legal & Estate","https://www.careerjet.com.bd/jobad/bd3c8a0fd4bb9fe40d3d61fd4467b18be2","Save","Gulshan, Dhaka","[object Object]","Job Responsibilities   Vetting of the property documents & Submission of wanting list for final vetting.  Initiating & conducting all legal proceedings, drafting legal documents (n…","11 hours ago",""
"Manager/Sr. Manager, Sales","https://www.careerjet.com.bd/jobad/bd0c7f37cd90e997203b64c49e2eb04967","Save","Gulshan, Dhaka","[object Object]","Job Responsibilities   Design sales plan and review it periodically.  Execute the sales strategy to ensure realizing organization's vision.  Formulate periodical targets and optimi…","12 hours ago",""
"Sr. Executive/Asst. Manager (Overseas Sales)","https://www.careerjet.com.bd/jobad/bd952c675acde9beb94939233bc95b9cb8","Save","Uttara, Dhaka","[object Object]","Job Responsibilities   Searching Overseas prospective customer and generating leads.  Contacting potential and Overseas customers over the phone, by email.  Handling Overseas custo…","12 hours ago",""
